DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1016/j.snb.2023.134251,gas,ammonia,-0.498940738,1.698970004,"poly(2,5-bis(3-tetradecylthiophen-2yl)thieno(3,2-b)thiophene)/molybdenum disulfide",25,-1,oxygen/nitrogen
10.1016/j.snb.2023.133661,gas,hydrogen,2,,tungsten trioxide,250,-1,oxygen/nitrogen
10.3390/s19071585,liquid,h+,-6,0,aluminum oxide,25,,water
10.1002/smll.202104168,liquid,h+,-6,0,aluminum oxide,25,,water
10.1002/elan.201900405,liquid,h+,-6,0,aluminum oxide,25,,water
10.3390/s21061939,liquid,h+,-6,-1,aluminum oxide,25,,water
10.1002/elan.201900405,liquid,k+,-1.408935393,3.59E+00,poly(vinyl chloride),25,7,water
10.1109/SENSORS56945.2023.10325245,liquid,h+,-5.14,-3.1,aluminum oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.bios.2021.113683,liquid,h+,-6,-1,aluminum oxide,37,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acs.accounts.6b00329,gas,dichloromethane,-3.193820026,,graphene,25,-1,oxygen/nitrogen
10.1109/JEDS.2018.2861622,liquid,h+,-7,-1,aluminum oxide,25,,water
10.1109/JSEN.2010.2100379,gas,hydrogen,1.176091259,4,palladium,25,-1,oxygen/nitrogen
10.1109/JSEN.2020.2999378,gas,dimethyl methylphosphonate,-1,1.812913357,4-carboxyphenylboronic acid,25,-1,oxygen/nitrogen
10.1088/1361-6528/ac512d,gas,methanol,-0.559090918,1.903089987,indium oxide/tin dioxide,25,-1,oxygen/nitrogen
10.1109/ICEE50728.2020.9777095,gas,oxygen,0.698970004,1.176091259,indium oxide/zinc oxide/gallium oxide,25,-1,oxygen/nitrogen
10.3390/s18030787,gas,methane,1,2.176091259,tin dioxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2014.2340436,gas,hydrogen,4.30E+00,,platinum,260,-1,helium
10.3390/s19081855,gas,hydrogen,2.301029996,3.301029996,palladium,130,-1,oxygen/nitrogen
10.1002/smll.202404633,gas,water,3.371067862,4.246129126,benzothiazole spiropyran,25,-1,oxygen/nitrogen
10.1063/5.0124891,gas,nitrogen dioxide,-1,,carbon nanotube,30,-1,nitrogen
10.1007/s10544-010-9497-z,liquid,h+,-2.300162274,3.399673721,aluminum oxide,25,,water
10.1109/ICSENS.2011.6127311,gas,hexane,1.397940009,3.079181246,heptacyclene,25,-1,oxygen/nitrogen
10.1109/LSENS.2023.3274682,liquid,ammonium,0.256236533,3.256236533,nonactin,25,7,sodium chloride/ammonium chloride/lactic acid/urea/acetic acid/water
10.1109/JSEN.2013.2252527,gas,hydrogen,0,4,palladium,30,-1,oxygen/nitrogen
10.1016/j.jelechem.2024.118572,liquid,sodium nitrite,-5.161180493,1.838819507,indium oxide,25,7.4,glycerol/sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acssensors.9b00731,liquid,h+,-8,0,aluminum oxide,25,,water
10.1021/acssensors.9b01751,gas,nitrogen dioxide,-0.698970004,1.301029996,poly(bisdodecylquaterthiophene)/polystyrene,25,-1,oxygen/nitrogen
10.1021/acssensors.9b01751,gas,sulfur dioxide,0.698970004,,poly(bisdodecylquaterthiophene)/polystyrene,25,-1,oxygen/nitrogen
10.1021/acssensors.9b01751,gas,ammonia,0.698970004,,poly(bisdodecylquaterthiophene)/polystyrene,25,-1,oxygen/nitrogen
10.1021/acssensors.9b01751,gas,hydrogen sulfide,0.698970004,,poly(bisdodecylquaterthiophene)/polystyrene,25,-1,oxygen/nitrogen
10.3390/bios13030363,liquid,gadolinium cation (3+),-6.803547458,2.196452542,tetraxetan,25,7.4,potassium chloride/water
10.1016/j.bios.2023.115150,liquid,ampicillin,1.491361694,2.301029996,iridium oxide,25,7,potassium phosphate/water
10.4028/www.scientific.net/KEM.575-576.477,gas,formaldehyde,1,2.397940009,pentacene,25,-1,nitrogen
10.1109/IEDM.2012.6479098,liquid,h+,-4,-1,aluminum oxide,25,,water
10.1039/c7nr07745a,gas,methanol,3.079181246,3.806179974,platinum,25,-1,nitrogen
10.1109/TED.2023.3336301,gas,hydrogen sulfide,-1.819014419,0.698970004,silver,25,-1,oxygen/nitrogen
10.1063/1.4878659,liquid,h+,-4.5,-1.7,aluminum oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1007/s40843-021-1903-5,liquid,diethyl carbonate,0.146128036,2.77815125,"biurea /dinaphtho[2,3-b:2',3'-f]thieno[3,2-b]thiophene",25,-1,oxygen/nitrogen
10.1038/s41598-021-83451-2,liquid,potassium chloride,0.872447648,4.872447648,carbon nanotube,25,7,water
10.1016/j.carbon.2022.01.023,gas,ethanol,-1.301029996,0.954242509,carbon molecular sieve,150,-1,nitrogen
10.1021/acsnano.3c01582,gas,ammonia,1.698970004,3.301029996,platinum diselenide,25,-1,oxygen/nitrogen
10.1007/s00604-024-06487-x,liquid,phenytoin,-1.88941029,-1.27572413,zinc oxide,25,7,sodium dihydrogen phosphate/disodium hydrogen phosphate/water
10.1016/j.synthmet.2019.04.010,gas,nitrogen dioxide,-1,0.301029996,"5,10,15-tris(pentafluorophenyl)corrole/cu2+/(4-hydroxyphenyl)diphenylmethanol",25,-1,nitrogen
10.1016/j.snb.2016.10.051,liquid,h+,-11,2,aluminum oxide,25,,water
10.1016/j.xcrp.2023.101564,gas,sulfur dioxide,0,1.698970004,titanium dioxide,175,-1,oxygen/nitrogen
10.1002/cphc.201100918,liquid,h+,-5.5,-2.5,aluminum oxide,25,,water
10.1016/j.synthmet.2021.116764,gas,ammonia,-1.397940009,1,"dipyrazino[2,3-f:2',3'-h]quinoxaline-2,3,6,7,10,11-hexacarbonitrile",25,-1,nitrogen
10.7503/cjcu20180283,liquid,l-cystine,-0.189493949,2.380753771,polydithiopropane sulfonic acid,25,5,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/admi.202100314,liquid,h+,-7,0,aluminum oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.3390/molecules28135054,gas,nitrogen dioxide,-1,1.698970004,graphene,25,-1,nitrogen
10.1109/LSENS.2024.3409363,liquid,pb2+,-3,1,graphene/phenol/ethylene oxide/benzoic acid,25,7,water
10.1109/JSEN.2016.2625420,liquid,dopamine,-9.814797935,-1.814797935,4-carboxyphenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/admi.202301088,gas,water,3.216165902,3.915135907,"2,8-difluoro-5,11-bis(triethylsilylethynyl)",25,-1,oxygen/nitrogen
10.1007/s10904-020-01541-6,liquid,glucose,-1.744351269,-1.346411261,silver,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2024.135872,gas,ammonia,-0.356547324,1.301029996,"poly(2,5-bis(3-tetradecylthiophen-2yl)thieno(3,2-b)thiophene)",27,-1,oxygen/nitrogen
10.1021/nl100892y,liquid,h+,-6,0,aluminum oxide,25,,water
10.23919/SISPAD.2017.8085298,gas,hydrogen,4.7124,,zinc oxide,200,-1,nitrogen
10.1002/admi.202200647,liquid,ammonium,-0.965612216,0.256236533,tungsten trioxide,25,7.4,water/sodium chloride/potassium chloride/calcium chloride
10.1109/LSENS.2024.3420404,gas,trimethylamine,-1,0,graphene,25,-1,oxygen/nitrogen
10.1021/acsami.3c00105,gas,methanol,0,2,"n-alkyl-diketopyrrolo-pyrrole-dithienylthieno[3,2-b]thiophene",25,-1,oxygen/nitrogen
10.1016/j.snb.2023.133511,gas,ammonia,0.225309282,2.698970004,carbon nanotube,25,-1,oxygen/nitrogen
10.1016/j.snb.2023.133430,gas,nitrogen dioxide,0.392696953,1.301029996,graphene,23,-1,nitrogen
10.1021/acssensors.7b00047,liquid,h+,-8.4,-0.3,aluminum oxide,25,,water
10.1016/j.snb.2022.132155,gas,"n,n-dimethylformamide",-3,-0.301029996,tin dioxide/zirconium oxide,28,-1,oxygen/nitrogen
10.1109/JSEN.2017.2786739,gas,trinitrotoluene,-1.795880017,-0.872895202,parylene c,70,-1,nitrogen
10.1016/j.snb.2023.134135,liquid,na+,-0.66514431,4.361727836,4-tert-butylcalix[4]arene-tetraacetic acid tetraethyl ester,25,7,sodium chloride/potassium nitrate/calcium chloride/magnesium sulfate/lactic acid/tris(hydroxymethyl)aminomethane/water
10.1021/acsami.2c20391,gas,nitrogen dioxide,-2.522878745,0.698970004,triisopropylsilylethynyl pentacene,25,-1,nitrogen
10.1039/d0tc05458e,gas,nitrogen dioxide,-0.301029996,1.301029996,diketopyrrolopyrrole fluorene copolymer,25,-1,oxygen/nitrogen
10.1021/acssensors.4c00357,gas,nitrogen dioxide,-1,0,palladium/carbon nanotube,80,-1,oxygen/nitrogen
10.3938/jkps.68.797,gas,nitric oxide,0.903089987,1.505149978,carbon nanotube,25,-1,oxygen/nitrogen
10.1021/acs.nanolett.2c01107,liquid,h+,-6,0,aluminum oxide,25,,water
10.1117/12.2024135,liquid,sodium chloride,-0.233289793,2.766710207,poly(3-hexylthiophene),25,7,water
10.1021/acsanm.9b02037,liquid,h+,-7.77,-0.29,aluminum oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acs.analchem.4c00435,liquid,hg2+,-6,-0.381951903,gallium nitride,25,7.2,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.apsusc.2017.03.167,liquid,h+,-6,2,aluminum oxide,23,,water
10.1016/j.matlet.2016.01.131,liquid,glucose,-0.744356091,2.255643909,gold,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/JSEN.2024.3444482,liquid,phenobarbital,-0.56219032,1.763867681,cerium dioxide/copper oxide/nickel oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/admt.202101149,liquid,hydrogen peroxide,2.522704993,5.522704993,poly(3-hexylthiophene),25,7,water
10.1016/j.snb.2017.06.152,liquid,h+,-6,-1,aluminum oxide,25,,water
10.1016/j.snb.2014.11.142,gas,nitrogen dioxide,-0.698970004,,indium arsenide,25,-1,nitrogen
10.1149/1945-7111/abc0ac,gas,hydrogen,1.301029996,3.698970004,palladium oxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2021.3087333,liquid,h+,-7,1,aluminum oxide,30,,water
10.1007/s00542-012-1434-z,gas,nitrogen monoxide,1.698970004,2.301029996,platinum,380,-1,nitrogen
10.1109/ICSENS.2017.8234339,liquid,glucose,-0.744356091,3.255643909,zinc oxide,37,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsami.1c04570,gas,nitrogen dioxide,0.698970004,1.698970004,poly(3-hexylthiophene),25,-1,nitrogen
10.1109/JSEN.2022.3201159,liquid,h+,-9,1,aluminum oxide/gallium oxide/zinc oxide,25,,water
10.1109/TED.2021.3129711,liquid,h+,-11,0,aluminum oxide/hafnium oxide,25,,water
10.1007/s12274-016-1356-7,liquid,methanol,4.597695186,4.8178297,tin dioxide,25,7,water
10.1007/s12274-016-1356-7,liquid,nitric acid,2.875061263,4.355834496,tin dioxide,25,1,water
